task_id,category,gate,status,owner,reason_code,evidence_count,public_status_url,next_action_at,next_action
guard_gate.engine_release_ready,release,engine_release_ready,blocked,engineering,engine-release-evidence-missing,0,https://tinyzkp.com/releases#gate-engine-release-ready,,Publish digest-bound engine release evidence from the reviewed release commit.
guard_gate.five_unaided_installs,qualification,five_unaided_installs,blocked,engineering,clean-machine-evidence-missing,0,https://tinyzkp.com/releases#gate-five-unaided-installs,,Record five clean-machine unaided install results without maintainer intervention.
guard_gate.guard_artifact_published,release,guard_artifact_published,blocked,engineering,guard-artifact-publication-missing,0,https://tinyzkp.com/releases#gate-guard-artifact-published,,"Publish the signed Guard artifact, checksum, provenance, and channel metadata."
guard_gate.guard_release_ready,release,guard_release_ready,blocked,engineering,guard-release-evidence-missing,0,https://tinyzkp.com/releases#gate-guard-release-ready,,Publish the reviewed Guard release manifest and its bound source identity.
guard_gate.hosted_infrastructure_decommissioned,operations,hosted_infrastructure_decommissioned,blocked,engineering,decommission-evidence-missing,0,https://tinyzkp.com/releases#gate-hosted-infrastructure-decommissioned,,Decommission retained hosted infrastructure only after the obligation inventory is complete.
guard_gate.legacy_obligations_resolved,operations,legacy_obligations_resolved,blocked,founder,legacy-resolution-evidence-missing,0,https://tinyzkp.com/releases#gate-legacy-obligations-resolved,,"Resolve and record every retained customer, billing, data, and service obligation."
guard_gate.legal_terms_approved,legal,legal_terms_approved,blocked,owner_and_counsel,legal-approval-missing,0,https://tinyzkp.com/releases#gate-legal-terms-approved,,Approve the commercial terms and publish the binding legal version.
guard_gate.merchant_live_owner_smoke_passed,commerce,merchant_live_owner_smoke_passed,blocked,founder,merchant-live-smoke-missing,0,https://tinyzkp.com/releases#gate-merchant-live-owner-smoke-passed,,Complete and record the owner-controlled Lemon Squeezy production smoke test.
guard_gate.merchant_sandbox_lifecycle_passed,commerce,merchant_sandbox_lifecycle_passed,blocked,founder,merchant-sandbox-evidence-missing,0,https://tinyzkp.com/releases#gate-merchant-sandbox-lifecycle-passed,,"Complete and record the Lemon Squeezy sandbox purchase, renewal, cancellation, and access lifecycle."
guard_gate.release_rehearsal_within_budget,operations,release_rehearsal_within_budget,blocked,engineering,release-rehearsal-evidence-missing,0,https://tinyzkp.com/releases#gate-release-rehearsal-within-budget,,Complete a release rehearsal and bind its measured support and maintenance budget evidence.
guard_gate.three_external_workloads,qualification,three_external_workloads,blocked,founder,external-workload-evidence-missing,0,https://tinyzkp.com/releases#gate-three-external-workloads,,Record three independent external workload qualification results in launch evidence.
guard_gate.two_standard_annual_customers,qualification,two_standard_annual_customers,blocked,founder,annual-customer-evidence-missing,0,https://tinyzkp.com/releases#gate-two-standard-annual-customers,,Record two standard annual-customer qualification outcomes without changing the public offer.
