task_id,channel,task_type,status,owner,target,due_date,follow_up_date,primary_cta,secondary_cta,submission_url,source_artifact,evidence_command,evidence_url,completed_at,next_action,blocker
revenue.pilot_checkout_launch,revenue,live_checkout_verification,completed,founder,$5K Production Pilot checkout,2026-06-25,,https://tinyzkp.com/pilot?source=gtm_execution_ledger&medium=ops&platform=direct&intent=paid_pilot_checkout,https://tinyzkp.com/contact?category=Paid%20Pilot&source=gtm_execution_ledger&medium=ops&platform=direct&intent=paid_pilot_contact,,site/functions/api/create-pilot-checkout.js,python3 scripts/ci/production_launch_preflight.py --live,https://tinyzkp.com/api/create-pilot-checkout,2026-06-25,"Monitor pilot checkout starts, completed payments, and paid-pilot contact fallbacks; record revenue only after Stripe or invoice evidence exists.",None; live route uses inline price_data when STRIPE_PRICE_ID_PILOT is absent.
revenue.stripe_catalog_hygiene,revenue,stripe_catalog_audit,external_secret_required,founder,Current Stripe product and price catalog,2026-06-25,,https://tinyzkp.com/pricing?source=gtm_execution_ledger&medium=ops&platform=direct&intent=paid_signup,https://tinyzkp.com/pilot?source=gtm_execution_ledger&medium=ops&platform=direct&intent=paid_pilot_checkout,,billing/setup_stripe_products.sh,python3 billing/stripe_revenue_ops_audit.py --stripe-bin /opt/homebrew/bin/stripe --strict-catalog,,,"Switch the local Stripe CLI to the LN Holdings account used for TinyZKP, confirm billing/stripe_account_context_check.py passes, then run bash billing/setup_stripe_products.sh --stripe-cli --stripe-bin /opt/homebrew/bin/stripe --push-cloudflare with write-capable live access and rerun the strict revenue-ops audit.",Requires the LN Holdings Stripe account used for TinyZKP plus write-capable live API key or CLI profile; the current local CLI profile reports display_name='Galen Health' and is not authoritative for TinyZKP catalog or revenue evidence.
mcp_submission.smithery,mcp_distribution,directory_submission,active_listing_monitor,founder,Smithery,,,https://tinyzkp.com/signup?source=smithery_mcp&medium=mcp_directory&platform=smithery&intent=mcp_install,https://tinyzkp.com/mcp?source=gtm_execution_ledger&medium=ops&platform=direct&intent=mcp_install,https://smithery.ai/new,marketing/generated/mcp_submissions/smithery.md,python3 scripts/monitoring/gtm_distribution_monitor.py --offline,https://smithery.ai/servers/logan/tinyzkp-mcp,,Monitor accepted listing for current copy and source-tagged CTA.,
mcp_submission.official_mcp_registry,mcp_distribution,directory_submission,active_listing_monitor,founder,Official MCP Registry,,,https://tinyzkp.com/signup?source=official_mcp_registry&medium=mcp_directory&platform=modelcontextprotocol&intent=mcp_install,https://tinyzkp.com/mcp?source=gtm_execution_ledger&medium=ops&platform=direct&intent=mcp_install,https://modelcontextprotocol.io/registry/quickstart,marketing/generated/mcp_submissions/official_mcp_registry.md,python3 scripts/monitoring/gtm_distribution_monitor.py --offline,https://registry.modelcontextprotocol.io/v0.1/servers/io.github.logannye%2Ftinyzkp/versions/latest,,Monitor accepted listing for current copy and source-tagged CTA.,
mcp_submission.mcp_so,mcp_distribution,directory_submission,submitted,founder,mcp.so,,,https://tinyzkp.com/signup?source=mcp_so&medium=mcp_directory&platform=mcp_so&intent=mcp_install,https://tinyzkp.com/mcp?source=gtm_execution_ledger&medium=ops&platform=direct&intent=mcp_install,https://mcp.so/submit,marketing/generated/mcp_submissions/mcp_so.md,python3 scripts/monitoring/gtm_distribution_monitor.py --offline,https://github.com/chatmcp/mcpso/issues/2916,2026-06-25,"Follow up on mcp.so review, then update the public listing URL when accepted.",Awaiting directory review or merge.
mcp_submission.glama,mcp_distribution,directory_submission,active_listing_monitor,founder,Glama MCP Registry,,,https://tinyzkp.com/signup?source=glama_mcp&medium=mcp_directory&platform=glama&intent=mcp_install,https://tinyzkp.com/mcp?source=gtm_execution_ledger&medium=ops&platform=direct&intent=mcp_install,https://glama.ai/mcp,marketing/generated/mcp_submissions/glama.md,python3 scripts/monitoring/gtm_distribution_monitor.py --offline,https://glama.ai/mcp/connectors/io.github.logannye/tinyzkp,,Monitor accepted listing for current copy and source-tagged CTA.,
mcp_submission.mcpservers_org,mcp_distribution,directory_submission,active_listing_monitor,founder,mcpservers.org,,,https://tinyzkp.com/signup?source=mcpservers_org&medium=mcp_directory&platform=mcpservers_org&intent=mcp_install,https://tinyzkp.com/mcp?source=gtm_execution_ledger&medium=ops&platform=direct&intent=mcp_install,https://mcpservers.org,marketing/generated/mcp_submissions/mcpservers_org.md,python3 scripts/monitoring/gtm_distribution_monitor.py --offline,https://mcpservers.org/servers/logannye/hc-stark,,Monitor accepted listing for current copy and source-tagged CTA.,
mcp_submission.anthropic_connectors,mcp_distribution,directory_submission,ready_for_manual_submission,founder,Anthropic Connectors Directory,,,https://tinyzkp.com/signup?source=anthropic_connector&medium=mcp_directory&platform=anthropic&intent=mcp_install,https://tinyzkp.com/mcp?source=gtm_execution_ledger&medium=ops&platform=direct&intent=mcp_install,https://claude.com/docs/connectors/building/submission,marketing/generated/mcp_submissions/anthropic_connectors.md,python3 scripts/monitoring/gtm_distribution_monitor.py --offline,,,Submit marketing/generated/mcp_submissions/anthropic_connectors.md through the target account or PR flow.,Requires account access or a manual PR/submission flow.
mcp_submission.pulsemcp,mcp_distribution,directory_submission,active_listing_monitor,founder,PulseMCP,,,https://tinyzkp.com/signup?source=pulsemcp&medium=mcp_directory&platform=pulsemcp&intent=mcp_install,https://tinyzkp.com/mcp?source=gtm_execution_ledger&medium=ops&platform=direct&intent=mcp_install,https://www.pulsemcp.com,marketing/generated/mcp_submissions/pulsemcp.md,python3 scripts/monitoring/gtm_distribution_monitor.py --offline,https://www.pulsemcp.com/servers/tinyzkp,,Monitor accepted listing for current copy and source-tagged CTA.,
mcp_submission.cursor_directory,mcp_distribution,directory_submission,ready_for_manual_submission,founder,Cursor Directory,,,https://tinyzkp.com/signup?source=cursor_directory&medium=mcp_directory&platform=cursor&intent=mcp_install,https://tinyzkp.com/mcp?source=gtm_execution_ledger&medium=ops&platform=direct&intent=mcp_install,https://cursor.directory/plugins/new,marketing/generated/mcp_submissions/cursor_directory.md,python3 scripts/monitoring/gtm_distribution_monitor.py --offline,,,Submit marketing/generated/mcp_submissions/cursor_directory.md through the target account or PR flow.,Requires account access or a manual PR/submission flow.
