rank,company,website,yc_url,score,recommended_route,send_date,follow_up_date,contact_role,contact_name,contact_email,contact_research_status,send_status,reply_type,outcome,subject,primary_cta,secondary_cta,research_urls,mailto_template
1,Alter,https://alterauth.com,https://www.ycombinator.com/companies/alter,45,platform_rollout,2026-06-29,2026-07-06,"Founder, head of engineering, or workflow owner",,,needs_manual_founder_or_engineering_contact,ready_after_manual_contact_research,,,verifiable receipts for Alter?,https://tinyzkp.com/fit?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=find_route&workflow=alter,https://tinyzkp.com/pilot?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=paid_pilot_checkout&workflow=alter,YC profile: https://www.ycombinator.com/companies/alter | Company website: https://alterauth.com | Founder/engineering web search: https://www.google.com/search?q=Alter+founder+CTO+engineering+lead+alterauth.com | LinkedIn people search: https://www.linkedin.com/search/results/people/?keywords=Alter+founder+CTO+engineering+lead+alterauth.com,mailto:?subject=verifiable+receipts+for+Alter%3F&body=Hi+%5Bfirst+name%5D+-%0A%0AI+looked+at+Alter.+Secure+access+control+and+authorization+platform+for+agent+workflows.%0A%0AAttach+verifier-friendly+receipts+to+compliance+or+audit+checkpoints+where+signed+logs+alone+do+not+prove+the+transition+rule.+TinyZKP%27s+smallest+useful+test+is+one+receipt+for+one+state+transition%3A+initial+state%2C+declared+steps%2C+final+state%2C+and+a+verifier+URL+another+service+or+human+can+inspect+without+replaying+your+system.%0A%0AStart+here%3A+https%3A%2F%2Ftinyzkp.com%2Ffit%3Fsource%3Dfounder_outbound%26medium%3Demail%26platform%3Ddirect%26campaign%3Dyc_agent_outbound%26intent%3Dfind_route%26workflow%3Dalter%0A%0AFree+tier+covers+evaluation.+If+the+statement+or+verifier+placement+needs+design+review%2C+the+paid+pilot+path+is+scoped+to+one+workflow.%0A%0A-+Logan
2,Korso,https://korsoai.com/,https://www.ycombinator.com/companies/korso,43,paid_pilot,2026-06-29,2026-07-06,"Founder, head of engineering, or workflow owner",,,needs_manual_founder_or_engineering_contact,ready_after_manual_contact_research,,,verifiable receipts for Korso?,https://tinyzkp.com/pilot?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=paid_pilot_checkout&workflow=korso,https://tinyzkp.com/calculator?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=calculator&workflow=korso,YC profile: https://www.ycombinator.com/companies/korso | Company website: https://korsoai.com/ | Founder/engineering web search: https://www.google.com/search?q=Korso+founder+CTO+engineering+lead+korsoai.com | LinkedIn people search: https://www.linkedin.com/search/results/people/?keywords=Korso+founder+CTO+engineering+lead+korsoai.com,mailto:?subject=verifiable+receipts+for+Korso%3F&body=Hi+%5Bfirst+name%5D+-%0A%0AI+looked+at+Korso.+The+Intelligence+Layer+for+Manufacturing.%0A%0AReceipt+ERP+and+supplier+workflow+state+changes+so+customers+can+verify+what+the+agent+did+without+replaying+the+producer+system.+TinyZKP%27s+smallest+useful+test+is+one+receipt+for+one+state+transition%3A+initial+state%2C+declared+steps%2C+final+state%2C+and+a+verifier+URL+another+service+or+human+can+inspect+without+replaying+your+system.%0A%0AStart+here%3A+https%3A%2F%2Ftinyzkp.com%2Fpilot%3Fsource%3Dfounder_outbound%26medium%3Demail%26platform%3Ddirect%26campaign%3Dyc_agent_outbound%26intent%3Dpaid_pilot_checkout%26workflow%3Dkorso%0A%0AFree+tier+covers+evaluation.+If+the+statement+or+verifier+placement+needs+design+review%2C+the+paid+pilot+path+is+scoped+to+one+workflow.%0A%0A-+Logan
3,Redouble AI,https://redouble.ai/,https://www.ycombinator.com/companies/redouble-ai,42,platform_rollout,2026-06-29,2026-07-06,"Founder, platform lead, or agent product owner",,,needs_manual_founder_or_engineering_contact,ready_after_manual_contact_research,,,verifiable receipts for Redouble AI?,https://tinyzkp.com/fit?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=find_route&workflow=redouble-ai,https://tinyzkp.com/pilot?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=paid_pilot_checkout&workflow=redouble-ai,YC profile: https://www.ycombinator.com/companies/redouble-ai | Company website: https://redouble.ai/ | Founder/engineering web search: https://www.google.com/search?q=Redouble+AI+founder+CTO+engineering+lead+redouble.ai | LinkedIn people search: https://www.linkedin.com/search/results/people/?keywords=Redouble+AI+founder+CTO+engineering+lead+redouble.ai,mailto:?subject=verifiable+receipts+for+Redouble+AI%3F&body=Hi+%5Bfirst+name%5D+-%0A%0AI+looked+at+Redouble+AI.+Java-native+multi-agentic+AI+operating+system+for+enterprise.%0A%0AAdd+proof+receipts+to+consequential+agent+actions+so+recipients+can+verify+the+state+transition+without+trusting+the+agent+transcript.+TinyZKP%27s+smallest+useful+test+is+one+receipt+for+one+state+transition%3A+initial+state%2C+declared+steps%2C+final+state%2C+and+a+verifier+URL+another+service+or+human+can+inspect+without+replaying+your+system.%0A%0AStart+here%3A+https%3A%2F%2Ftinyzkp.com%2Ffit%3Fsource%3Dfounder_outbound%26medium%3Demail%26platform%3Ddirect%26campaign%3Dyc_agent_outbound%26intent%3Dfind_route%26workflow%3Dredouble-ai%0A%0AFree+tier+covers+evaluation.+If+the+statement+or+verifier+placement+needs+design+review%2C+the+paid+pilot+path+is+scoped+to+one+workflow.%0A%0A-+Logan
4,Cyberdesk,https://www.cyberdesk.io,https://www.ycombinator.com/companies/cyberdesk,41,platform_rollout,2026-06-29,2026-07-06,"Founder, platform lead, or agent product owner",,,needs_manual_founder_or_engineering_contact,ready_after_manual_contact_research,,,verifiable receipts for Cyberdesk?,https://tinyzkp.com/fit?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=find_route&workflow=cyberdesk,https://tinyzkp.com/pilot?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=paid_pilot_checkout&workflow=cyberdesk,YC profile: https://www.ycombinator.com/companies/cyberdesk | Company website: https://www.cyberdesk.io | Founder/engineering web search: https://www.google.com/search?q=Cyberdesk+founder+CTO+engineering+lead+cyberdesk.io | LinkedIn people search: https://www.linkedin.com/search/results/people/?keywords=Cyberdesk+founder+CTO+engineering+lead+cyberdesk.io,mailto:?subject=verifiable+receipts+for+Cyberdesk%3F&body=Hi+%5Bfirst+name%5D+-%0A%0AI+looked+at+Cyberdesk.+Self+learning+computer+use+agent+for+developers.%0A%0AReceipt+consequential+browser%2Fdesktop+agent+actions+so+operators+can+inspect+state+changes+after+autonomous+execution.+TinyZKP%27s+smallest+useful+test+is+one+receipt+for+one+state+transition%3A+initial+state%2C+declared+steps%2C+final+state%2C+and+a+verifier+URL+another+service+or+human+can+inspect+without+replaying+your+system.%0A%0AStart+here%3A+https%3A%2F%2Ftinyzkp.com%2Ffit%3Fsource%3Dfounder_outbound%26medium%3Demail%26platform%3Ddirect%26campaign%3Dyc_agent_outbound%26intent%3Dfind_route%26workflow%3Dcyberdesk%0A%0AFree+tier+covers+evaluation.+If+the+statement+or+verifier+placement+needs+design+review%2C+the+paid+pilot+path+is+scoped+to+one+workflow.%0A%0A-+Logan
5,Inkeep,https://inkeep.com,https://www.ycombinator.com/companies/inkeep,38,platform_rollout,2026-06-29,2026-07-06,"Founder, platform lead, or agent product owner",,,needs_manual_founder_or_engineering_contact,ready_after_manual_contact_research,,,verifiable receipts for Inkeep?,https://tinyzkp.com/fit?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=find_route&workflow=inkeep,https://tinyzkp.com/pilot?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=paid_pilot_checkout&workflow=inkeep,YC profile: https://www.ycombinator.com/companies/inkeep | Company website: https://inkeep.com | Founder/engineering web search: https://www.google.com/search?q=Inkeep+founder+CTO+engineering+lead+inkeep.com | LinkedIn people search: https://www.linkedin.com/search/results/people/?keywords=Inkeep+founder+CTO+engineering+lead+inkeep.com,mailto:?subject=verifiable+receipts+for+Inkeep%3F&body=Hi+%5Bfirst+name%5D+-%0A%0AI+looked+at+Inkeep.+Build+AI+Agent+teammates+and+automations+in+code+or+no-code.%0A%0AExpose+TinyZKP+as+a+native+proof-receipt+tool+for+agent+builders+who+already+operate+through+developer+workflows.+TinyZKP%27s+smallest+useful+test+is+one+receipt+for+one+state+transition%3A+initial+state%2C+declared+steps%2C+final+state%2C+and+a+verifier+URL+another+service+or+human+can+inspect+without+replaying+your+system.%0A%0AStart+here%3A+https%3A%2F%2Ftinyzkp.com%2Ffit%3Fsource%3Dfounder_outbound%26medium%3Demail%26platform%3Ddirect%26campaign%3Dyc_agent_outbound%26intent%3Dfind_route%26workflow%3Dinkeep%0A%0AFree+tier+covers+evaluation.+If+the+statement+or+verifier+placement+needs+design+review%2C+the+paid+pilot+path+is+scoped+to+one+workflow.%0A%0A-+Logan
6,Archal,https://www.archal.ai/,https://www.ycombinator.com/companies/archal,36,platform_rollout,2026-06-29,2026-07-06,"Founder, platform lead, or agent product owner",,,needs_manual_founder_or_engineering_contact,ready_after_manual_contact_research,,,verifiable receipts for Archal?,https://tinyzkp.com/fit?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=find_route&workflow=archal,https://tinyzkp.com/pilot?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=paid_pilot_checkout&workflow=archal,YC profile: https://www.ycombinator.com/companies/archal | Company website: https://www.archal.ai/ | Founder/engineering web search: https://www.google.com/search?q=Archal+founder+CTO+engineering+lead+archal.ai | LinkedIn people search: https://www.linkedin.com/search/results/people/?keywords=Archal+founder+CTO+engineering+lead+archal.ai,mailto:?subject=verifiable+receipts+for+Archal%3F&body=Hi+%5Bfirst+name%5D+-%0A%0AI+looked+at+Archal.+The+eval+platform+for+autonomous+software.%0A%0AExpose+TinyZKP+as+a+native+proof-receipt+tool+for+agent+builders+who+already+operate+through+developer+workflows.+TinyZKP%27s+smallest+useful+test+is+one+receipt+for+one+state+transition%3A+initial+state%2C+declared+steps%2C+final+state%2C+and+a+verifier+URL+another+service+or+human+can+inspect+without+replaying+your+system.%0A%0AStart+here%3A+https%3A%2F%2Ftinyzkp.com%2Ffit%3Fsource%3Dfounder_outbound%26medium%3Demail%26platform%3Ddirect%26campaign%3Dyc_agent_outbound%26intent%3Dfind_route%26workflow%3Darchal%0A%0AFree+tier+covers+evaluation.+If+the+statement+or+verifier+placement+needs+design+review%2C+the+paid+pilot+path+is+scoped+to+one+workflow.%0A%0A-+Logan
7,GodHands,https://godhands.dev,https://www.ycombinator.com/companies/godhands,35,self_serve_developer,2026-06-29,2026-07-06,"Founder, developer-experience lead, or senior engineer",,,needs_manual_founder_or_engineering_contact,ready_after_manual_contact_research,,,verifiable receipts for GodHands?,https://tinyzkp.com/signup?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=api_key&workflow=godhands,https://tinyzkp.com/?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=learn&workflow=godhands,YC profile: https://www.ycombinator.com/companies/godhands | Company website: https://godhands.dev | Founder/engineering web search: https://www.google.com/search?q=GodHands+founder+CTO+engineering+lead+godhands.dev | LinkedIn people search: https://www.linkedin.com/search/results/people/?keywords=GodHands+founder+CTO+engineering+lead+godhands.dev,mailto:?subject=verifiable+receipts+for+GodHands%3F&body=Hi+%5Bfirst+name%5D+-%0A%0AI+looked+at+GodHands.+Deterministic+Computer+Use+Infra+for+AI+Agents.%0A%0AReceipt+consequential+browser%2Fdesktop+agent+actions+so+operators+can+inspect+state+changes+after+autonomous+execution.+TinyZKP%27s+smallest+useful+test+is+one+receipt+for+one+state+transition%3A+initial+state%2C+declared+steps%2C+final+state%2C+and+a+verifier+URL+another+service+or+human+can+inspect+without+replaying+your+system.%0A%0AStart+here%3A+https%3A%2F%2Ftinyzkp.com%2Fsignup%3Fsource%3Dfounder_outbound%26medium%3Demail%26platform%3Ddirect%26campaign%3Dyc_agent_outbound%26intent%3Dapi_key%26workflow%3Dgodhands%0A%0AFree+tier+covers+evaluation.+If+the+statement+or+verifier+placement+needs+design+review%2C+the+paid+pilot+path+is+scoped+to+one+workflow.%0A%0A-+Logan
8,Tiny,https://andtiny.com,https://www.ycombinator.com/companies/tiny,34,paid_pilot,2026-06-29,2026-07-06,"Founder, head of engineering, or workflow owner",,,needs_manual_founder_or_engineering_contact,ready_after_manual_contact_research,,,verifiable receipts for Tiny?,https://tinyzkp.com/pilot?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=paid_pilot_checkout&workflow=tiny,https://tinyzkp.com/calculator?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=calculator&workflow=tiny,YC profile: https://www.ycombinator.com/companies/tiny | Company website: https://andtiny.com | Founder/engineering web search: https://www.google.com/search?q=Tiny+founder+CTO+engineering+lead+andtiny.com | LinkedIn people search: https://www.linkedin.com/search/results/people/?keywords=Tiny+founder+CTO+engineering+lead+andtiny.com,mailto:?subject=verifiable+receipts+for+Tiny%3F&body=Hi+%5Bfirst+name%5D+-%0A%0AI+looked+at+Tiny.+A+new+kind+of+ERP+system+for+factories.%0A%0AReceipt+ERP+and+supplier+workflow+state+changes+so+customers+can+verify+what+the+agent+did+without+replaying+the+producer+system.+TinyZKP%27s+smallest+useful+test+is+one+receipt+for+one+state+transition%3A+initial+state%2C+declared+steps%2C+final+state%2C+and+a+verifier+URL+another+service+or+human+can+inspect+without+replaying+your+system.%0A%0AStart+here%3A+https%3A%2F%2Ftinyzkp.com%2Fpilot%3Fsource%3Dfounder_outbound%26medium%3Demail%26platform%3Ddirect%26campaign%3Dyc_agent_outbound%26intent%3Dpaid_pilot_checkout%26workflow%3Dtiny%0A%0AFree+tier+covers+evaluation.+If+the+statement+or+verifier+placement+needs+design+review%2C+the+paid+pilot+path+is+scoped+to+one+workflow.%0A%0A-+Logan
9,Coasty,https://coasty.ai/,https://www.ycombinator.com/companies/coasty,33,platform_rollout,2026-06-29,2026-07-06,"Founder, platform lead, or agent product owner",,,needs_manual_founder_or_engineering_contact,ready_after_manual_contact_research,,,verifiable receipts for Coasty?,https://tinyzkp.com/fit?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=find_route&workflow=coasty,https://tinyzkp.com/pilot?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=paid_pilot_checkout&workflow=coasty,YC profile: https://www.ycombinator.com/companies/coasty | Company website: https://coasty.ai/ | Founder/engineering web search: https://www.google.com/search?q=Coasty+founder+CTO+engineering+lead+coasty.ai | LinkedIn people search: https://www.linkedin.com/search/results/people/?keywords=Coasty+founder+CTO+engineering+lead+coasty.ai,mailto:?subject=verifiable+receipts+for+Coasty%3F&body=Hi+%5Bfirst+name%5D+-%0A%0AI+looked+at+Coasty.+Building+the+future+of+knowledge+work%2C+RPA+and+SOPs+using+computer+use.%0A%0AReceipt+consequential+browser%2Fdesktop+agent+actions+so+operators+can+inspect+state+changes+after+autonomous+execution.+TinyZKP%27s+smallest+useful+test+is+one+receipt+for+one+state+transition%3A+initial+state%2C+declared+steps%2C+final+state%2C+and+a+verifier+URL+another+service+or+human+can+inspect+without+replaying+your+system.%0A%0AStart+here%3A+https%3A%2F%2Ftinyzkp.com%2Ffit%3Fsource%3Dfounder_outbound%26medium%3Demail%26platform%3Ddirect%26campaign%3Dyc_agent_outbound%26intent%3Dfind_route%26workflow%3Dcoasty%0A%0AFree+tier+covers+evaluation.+If+the+statement+or+verifier+placement+needs+design+review%2C+the+paid+pilot+path+is+scoped+to+one+workflow.%0A%0A-+Logan
10,Corsair,https://www.corsair.dev,https://www.ycombinator.com/companies/corsair,31,platform_rollout,2026-06-29,2026-07-06,"Founder, platform lead, or agent product owner",,,needs_manual_founder_or_engineering_contact,ready_after_manual_contact_research,,,verifiable receipts for Corsair?,https://tinyzkp.com/fit?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=find_route&workflow=corsair,https://tinyzkp.com/pilot?source=founder_outbound&medium=email&platform=direct&campaign=yc_agent_outbound&intent=paid_pilot_checkout&workflow=corsair,YC profile: https://www.ycombinator.com/companies/corsair | Company website: https://www.corsair.dev | Founder/engineering web search: https://www.google.com/search?q=Corsair+founder+CTO+engineering+lead+corsair.dev | LinkedIn people search: https://www.linkedin.com/search/results/people/?keywords=Corsair+founder+CTO+engineering+lead+corsair.dev,mailto:?subject=verifiable+receipts+for+Corsair%3F&body=Hi+%5Bfirst+name%5D+-%0A%0AI+looked+at+Corsair.+Integration+Layer+for+AI+Agents.%0A%0AExpose+TinyZKP+as+a+native+proof-receipt+tool+for+agent+builders+who+already+operate+through+developer+workflows.+TinyZKP%27s+smallest+useful+test+is+one+receipt+for+one+state+transition%3A+initial+state%2C+declared+steps%2C+final+state%2C+and+a+verifier+URL+another+service+or+human+can+inspect+without+replaying+your+system.%0A%0AStart+here%3A+https%3A%2F%2Ftinyzkp.com%2Ffit%3Fsource%3Dfounder_outbound%26medium%3Demail%26platform%3Ddirect%26campaign%3Dyc_agent_outbound%26intent%3Dfind_route%26workflow%3Dcorsair%0A%0AFree+tier+covers+evaluation.+If+the+statement+or+verifier+placement+needs+design+review%2C+the+paid+pilot+path+is+scoped+to+one+workflow.%0A%0A-+Logan
